User_ID,Season_ID,Search_Term,Sorting,Course_Clicked
10000242,i0ckklr9hu2qsbgb4aspckdjrg,robotics,NaN,Robotics
355805,k133ciqjq199tm3cn8utkcjkk7,pythonforbeginners,NaN,NaN
10000218,k133ciqjq199tm3cn8utkcjkk7,pythonforbeginners,NaN,NaN
355805,k133ciqjq199tm3cn8utkcjkk7,robotics,NaN,NaN
10000218,k133ciqjq199tm3cn8utkcjkk7,robotics,NaN,NaN
355805,k133ciqjq199tm3cn8utkcjkk7,personalitydevelopmentandcommunicationskill,NaN,NaN
10000218,k133ciqjq199tm3cn8utkcjkk7,personalitydevelopmentandcommunicationskill,NaN,NaN
979511,djvvsf1dbfu1a04nq5v7m6ouq7,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
10000200,djvvsf1dbfu1a04nq5v7m6ouq7,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
979511,djvvsf1dbfu1a04nq5v7m6ouq7,sciencebasedbodyweightworkout,NaN,Science-Based Bodyweight Workout
10000200,djvvsf1dbfu1a04nq5v7m6ouq7,sciencebasedbodyweightworkout,NaN,Science-Based Bodyweight Workout
355805,il8gbt9ibamatna6c15rbmp40j,masterchess,NaN,Master Chess
10000218,il8gbt9ibamatna6c15rbmp40j,masterchess,NaN,Master Chess
615538,t242k78kudrrbjni5hm8u8n84u,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
10000199,t242k78kudrrbjni5hm8u8n84u,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
355805,il8gbt9ibamatna6c15rbmp40j,masterchess,NaN,NaN
10000218,il8gbt9ibamatna6c15rbmp40j,masterchess,NaN,NaN
957947,ea29pfmlavcvd9prooe8tjg753,personalitydevelopmentandcommunicationskill,NaN,NaN
10000000,ea29pfmlavcvd9prooe8tjg753,personalitydevelopmentandcommunicationskill,NaN,NaN
957947,ea29pfmlavcvd9prooe8tjg753,masterwebdesigninphotoshop,NaN,NaN
10000000,ea29pfmlavcvd9prooe8tjg753,masterwebdesigninphotoshop,NaN,NaN
957947,ea29pfmlavcvd9prooe8tjg753,robotics,NaN,NaN
10000000,ea29pfmlavcvd9prooe8tjg753,robotics,NaN,NaN
355805,7kg768f1mnpdofpl85lvj3mf9p,topcourses,NaN,NaN
10000218,7kg768f1mnpdofpl85lvj3mf9p,topcourses,NaN,NaN
355805,7kg768f1mnpdofpl85lvj3mf9p,personalitydevelopmentandcommunicationskill,NaN,NaN
10000218,7kg768f1mnpdofpl85lvj3mf9p,personalitydevelopmentandcommunicationskill,NaN,NaN
355805,7kg768f1mnpdofpl85lvj3mf9p,cprogramming,NaN,NaN
10000218,7kg768f1mnpdofpl85lvj3mf9p,cprogramming,NaN,NaN
355805,7kg768f1mnpdofpl85lvj3mf9p,completeguitarsystem,NaN,NaN
10000218,7kg768f1mnpdofpl85lvj3mf9p,completeguitarsystem,NaN,NaN
355805,ctmf151umttanj9vuj9u2qrg1b,personalitydevelopmentandcommunicationskill,NaN,NaN
10000000,ctmf151umttanj9vuj9u2qrg1b,personalitydevelopmentandcommunicationskill,NaN,NaN
355805,ukb6dmjc444v62nu2m8pvir8j8,java,NaN,NaN
10000218,ukb6dmjc444v62nu2m8pvir8j8,java,NaN,NaN
979511,lm8ncpq739aq0kmefpev0fadav,hey,NaN,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,hey,NaN,NaN
979511,lm8ncpq739aq0kmefpev0fadav,thecompleteiosappdevelopmentbootcamp,NaN,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,thecompleteiosappdevelopmentbootcamp,NaN,NaN
979511,lm8ncpq739aq0kmefpev0fadav,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
10000200,lm8ncpq739aq0kmefpev0fadav,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
979511,lm8ncpq739aq0kmefpev0fadav,thecomplete,NaN,The Complete iOS App Development Bootcamp
10000200,lm8ncpq739aq0kmefpev0fadav,thecomplete,NaN,The Complete iOS App Development Bootcamp
979511,lm8ncpq739aq0kmefpev0fadav,hey,NaN,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,hey,NaN,NaN
979511,lm8ncpq739aq0kmefpev0fadav,hey,NaN,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,hey,NaN,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,NaN,rating,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,NaN,rating,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,software,NaN,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,software,NaN,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,c,NaN,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,c,NaN,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,NaN,rating,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,NaN,rating,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,NaN,lprice,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,NaN,lprice,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,NaN,startdate,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,NaN,startdate,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,NaN,startdate,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,NaN,startdate,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,NaN,rating,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,NaN,rating,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
615538,jbhuskl6gckir0afqh6t82jlh4,c,NaN,Artificial Intelligence
10000000,jbhuskl6gckir0afqh6t82jlh4,c,NaN,Artificial Intelligence
615538,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
10000000,jbhuskl6gckir0afqh6t82jlh4,java,NaN,NaN
979511,lm8ncpq739aq0kmefpev0fadav,monthlymeetingscqa,NaN,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,monthlymeetingscqa,NaN,NaN
615538,4v20l8jb9s342f9idi1au8k09j,thecompleteiosappdevelopmentbootcamp,NaN,NaN
10000218,4v20l8jb9s342f9idi1au8k09j,thecompleteiosappdevelopmentbootcamp,NaN,NaN
979511,lm8ncpq739aq0kmefpev0fadav,javaindepth,NaN,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,javaindepth,NaN,NaN
979511,lm8ncpq739aq0kmefpev0fadav,NaN,rating,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,NaN,rating,NaN
979511,lm8ncpq739aq0kmefpev0fadav,NaN,lprice,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,NaN,lprice,NaN
979511,lm8ncpq739aq0kmefpev0fadav,NaN,review,NaN
10000200,lm8ncpq739aq0kmefpev0fadav,NaN,review,NaN
979511,r32hm1002iffg5nlit86udj7dk,NaN,startdate,NaN
809946,9b5aiv3c74hvgnphv0jh52mda8,java,NaN,NaN
10000078,9b5aiv3c74hvgnphv0jh52mda8,java,NaN,NaN
809946,9b5aiv3c74hvgnphv0jh52mda8,java,NaN,NaN
10000078,9b5aiv3c74hvgnphv0jh52mda8,java,NaN,NaN
809946,9b5aiv3c74hvgnphv0jh52mda8,NaN,rating,NaN
10000078,9b5aiv3c74hvgnphv0jh52mda8,NaN,rating,NaN
809946,9b5aiv3c74hvgnphv0jh52mda8,NaN,rating,NaN
10000078,9b5aiv3c74hvgnphv0jh52mda8,NaN,rating,NaN
855230,33eop2jt9qs6m6jicb9nlmcdc9,java,NaN,NaN
979511,2fp85s1i2rst4n4cqd0cmcad13,cqameetings,NaN,NaN
10000200,2fp85s1i2rst4n4cqd0cmcad13,cqameetings,NaN,NaN
645420,anjld2n31900h5nurpokft413m,webdesigningwithoutcode,NaN,NaN
979511,iq22inhmb1e8bchopf0mcdbvvj,graphicdesignbootcamp,NaN,NaN
10000200,iq22inhmb1e8bchopf0mcdbvvj,graphicdesignbootcamp,NaN,NaN
979511,iq22inhmb1e8bchopf0mcdbvvj,graphicdesignbootcamp,NaN,NaN
10000200,iq22inhmb1e8bchopf0mcdbvvj,graphicdesignbootcamp,NaN,NaN
768065,q06g0mcbfdncla38n3td2h7jmj,cqa,NaN,CQA @Meetings
10000078,q06g0mcbfdncla38n3td2h7jmj,cqa,NaN,CQA @Meetings
768065,q06g0mcbfdncla38n3td2h7jmj,cqa,NaN,NaN
10000078,q06g0mcbfdncla38n3td2h7jmj,cqa,NaN,NaN
768065,q06g0mcbfdncla38n3td2h7jmj,cqameeting,NaN,CQA @Meetings
10000078,q06g0mcbfdncla38n3td2h7jmj,cqameeting,NaN,CQA @Meetings
494179,rqfeccdfu5o2c0sfim1kau2rfi,masterwebdesigninphotoshop,NaN,NaN
494179,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
10000080,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
494179,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
10000080,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
494179,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
10000080,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
494179,rqfeccdfu5o2c0sfim1kau2rfi,php,NaN,NaN
10000080,rqfeccdfu5o2c0sfim1kau2rfi,php,NaN,NaN
494179,rqfeccdfu5o2c0sfim1kau2rfi,php,NaN,NaN
10000080,rqfeccdfu5o2c0sfim1kau2rfi,php,NaN,NaN
494179,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
10000080,rqfeccdfu5o2c0sfim1kau2rfi,java,NaN,NaN
494179,0bk5li9gqjioftusf72akrm67c,java,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,python,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,php,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,php,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,pythonforbeginners,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,pythonforbeginners,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,python,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,python,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,java,NaN,Advance java
10000080,6e26rt9egeankcics1qffu9hbq,java,NaN,Advance java
645420,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,java,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,java,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,aws,NaN,AWS Certified Developer - Associate 2019
10000080,6e26rt9egeankcics1qffu9hbq,aws,NaN,AWS Certified Developer - Associate 2019
645420,6e26rt9egeankcics1qffu9hbq,python,NaN,Python for Beginners
10000080,6e26rt9egeankcics1qffu9hbq,python,NaN,Python for Beginners
645420,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,powerofsubconcious,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,powerofsubconcious,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,webdesigningwithoutcode,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,java,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,java,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,java,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,java,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,softwaretesting,NaN,Data structure
10000080,6e26rt9egeankcics1qffu9hbq,softwaretesting,NaN,Data structure
645420,6e26rt9egeankcics1qffu9hbq,masterwebdesigninphotoshop,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,masterwebdesigninphotoshop,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,c,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,c,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,masterwebdesigninphotoshop,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,masterwebdesigninphotoshop,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,c,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,c,NaN,NaN
645420,6e26rt9egeankcics1qffu9hbq,c,NaN,NaN
10000080,6e26rt9egeankcics1qffu9hbq,c,NaN,NaN
645420,lt0st183cvnfcddtp353o4l5bm,java,NaN,NaN
494179,qppuf09ffih1grmhndjglccle9,python,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,python,NaN,NaN
494179,qppuf09ffih1grmhndjglccle9,python,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,python,NaN,NaN
494179,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,Python for Beginners
10000080,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,Python for Beginners
494179,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,Deep Learning with Python
10000080,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,Deep Learning with Python
494179,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,NaN
494179,qppuf09ffih1grmhndjglccle9,softwaretesting,NaN,Data structure
10000080,qppuf09ffih1grmhndjglccle9,softwaretesting,NaN,Data structure
494179,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,pythonforbeginners,NaN,NaN
979511,iacr7k4qcli6a1mplv8p9t7bik,monthlymeetingscqa,NaN,Monthly meetings@CQA
10000200,iacr7k4qcli6a1mplv8p9t7bik,monthlymeetingscqa,NaN,Monthly meetings@CQA
979511,iacr7k4qcli6a1mplv8p9t7bik,monthlymeetingscqa,NaN,Monthly meetings@CQA
10000200,iacr7k4qcli6a1mplv8p9t7bik,monthlymeetingscqa,NaN,Monthly meetings@CQA
494179,qppuf09ffih1grmhndjglccle9,softwaretesting,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,softwaretesting,NaN,NaN
979511,iacr7k4qcli6a1mplv8p9t7bik,robotics,NaN,Robotics
10000200,iacr7k4qcli6a1mplv8p9t7bik,robotics,NaN,Robotics
494179,qppuf09ffih1grmhndjglccle9,awscertifieddeveloperassociate,NaN,AWS Certified Developer - Associate 2019
10000080,qppuf09ffih1grmhndjglccle9,awscertifieddeveloperassociate,NaN,AWS Certified Developer - Associate 2019
494179,qppuf09ffih1grmhndjglccle9,javaindepth,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,javaindepth,NaN,NaN
494179,qppuf09ffih1grmhndjglccle9,javaindepth,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,javaindepth,NaN,NaN
494179,qppuf09ffih1grmhndjglccle9,java,NaN,NaN
10000080,qppuf09ffih1grmhndjglccle9,java,NaN,NaN
979511,iacr7k4qcli6a1mplv8p9t7bik,awscertifieddeveloperassociate,NaN,React JS Web Development - The Essentials Bootcamp
10000200,iacr7k4qcli6a1mplv8p9t7bik,awscertifieddeveloperassociate,NaN,React JS Web Development - The Essentials Bootcamp
5da07897b4ad5,3b6eermf04cn324avubaa5inht,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
10000199,3b6eermf04cn324avubaa5inht,thecompleteiosappdevelopmentbootcamp,NaN,The Complete iOS App Development Bootcamp
979511,iacr7k4qcli6a1mplv8p9t7bik,awscertifieddeveloperassociate,NaN,NaN
10000200,iacr7k4qcli6a1mplv8p9t7bik,awscertifieddeveloperassociate,NaN,NaN
979511,iacr7k4qcli6a1mplv8p9t7bik,java,NaN,NaN
10000200,iacr7k4qcli6a1mplv8p9t7bik,java,NaN,NaN
979511,iacr7k4qcli6a1mplv8p9t7bik,java,NaN,Advance java
10000200,iacr7k4qcli6a1mplv8p9t7bik,java,NaN,Advance java
979511,iacr7k4qcli6a1mplv8p9t7bik,java,NaN,NaN
10000200,iacr7k4qcli6a1mplv8p9t7bik,java,NaN,NaN
5da07897b4ad5,3b6eermf04cn324avubaa5inht,monthlymeetingscqa,NaN,Monthly meetings@CQA
10000199,3b6eermf04cn324avubaa5inht,monthlymeetingscqa,NaN,Monthly meetings@CQA
979511,iacr7k4qcli6a1mplv8p9t7bik,graphicdesignbootcamp,NaN,Graphic Design Bootcamp
10000200,iacr7k4qcli6a1mplv8p9t7bik,graphicdesignbootcamp,NaN,Graphic Design Bootcamp
979511,te3lmmcvjfd0c6os7hptket30q,java,NaN,NaN
979511,te3lmmcvjfd0c6os7hptket30q,java,NaN,NaN
10000200,te3lmmcvjfd0c6os7hptket30q,java,NaN,NaN
615538,qienc3pum9g40vtm9iv44gp2f9,cscriptealertcscripte,NaN,NaN
10000199,qienc3pum9g40vtm9iv44gp2f9,cscriptealertcscripte,NaN,NaN
615538,qienc3pum9g40vtm9iv44gp2f9,cscriptealertcscripte,NaN,NaN
10000199,qienc3pum9g40vtm9iv44gp2f9,cscriptealertcscripte,NaN,NaN
615538,qienc3pum9g40vtm9iv44gp2f9,cbeccee,NaN,NaN
10000199,qienc3pum9g40vtm9iv44gp2f9,cbeccee,NaN,NaN
